TeamName,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11
Afghanistan 2019,Ibrahim Zadran,Ihsanullah,Rahmat Shah,Hashmatullah Shahidi,Asghar Afghan,Mohammad Nabi,Afsar Zazai,Rashid Khan,Qais Ahmad,Yamin Ahmadzai,Zahir Khan
Afghanistan 2025,Ibrahim Zadran,Abdul Malik (AFG),Rahmanullah Gurbaz,Hashmatullah Shahidi,Bahir Shah,Afsar Zazai,Ismat Alam,Sharafuddin Ashraf,Yamin Ahmadzai,Khalil Gurbaz,Ziaur Rahman
Australia 1882-83,HH Massie,AC Bannerman,GJ Bonnor,WL Murdoch,TP Horan,G Giffen,PS McDonnell,JM Blackham,GE Palmer,TW Garrett,FR Spofforth
Australia 1894-95,W Bruce,GHS Trott,G Giffen,FA Iredale,J Darling,SE Gregory,J Harry,J Worrall,AH Jarvis,AE Trott,ST Callaway
Australia 1901-02,VT Trumper,J Darling,C Hill,MA Noble,SE Gregory,RA Duff,WW Armstrong,H Trumble,E Jones,JJ Kelly,WP Howell
Australia 1920-21,CG Macartney,HL Collins,W Bardsley,C Kelleway,WW Armstrong,JM Gregory,JM Taylor,J Ryder,H Carter,AA Mailey,EA McDonald
Australia 1936-37,JHW Fingleton,WA Brown,DG Bradman,KE Rigg,SJ McCabe,RG Gregory,AG Chipperfield,WAS Oldfield,WJ O'Reilly,EL McCormick,LO Fleetwood-Smith
Australia 1948,SG Barnes,AR Morris,DG Bradman,AL Hassett,WA Brown,KR Miller,IWG Johnson,RR Lindwall,D Tallon,WA Johnston,ERH Toshack
Australia 1958-59,CC McDonald,JW Burke,RN Harvey,NCL O'Neill,KD Mackay,LE Favell,R Benaud,AK Davidson,ATW Grout,I Meckiff,LF Kline
Australia 1962-63,WM Lawry,RB Simpson,NCL O'Neill,RN Harvey,PJP Burge,BC Booth,AK Davidson,KD Mackay,R Benaud,GD McKenzie,BN Jarman
Australia 1969,WM Lawry,KR Stackpole,IM Chappell,IR Redpath,AP Sheahan,KD Walters,HB Taber,GD McKenzie,AA Mallett,AN Connolly,JW Gleeson
Australia 1974-75,IR Redpath,WJ Edwards,IM Chappell,GS Chappell,R Edwards,KD Walters,RW Marsh,MHN Walker,DK Lillee,AA Mallett,JR Thomson
Australia 1982,GM Wood,BM Laird,GS Chappell,KJ Hughes,GN Yallop,AR Border,RW Marsh,DK Lillee,AA Mallett,RJ Bright,LS Pascoe
Australia 1983,KC Wessels,WB Phillips,GN Yallop,GS Chappell,KJ Hughes,AR Border,RW Marsh,GF Lawson,DK Lillee,RM Hogg,CG Rackemann
Australia 1989,GR Marsh,MA Taylor,DC Boon,AR Border,DM Jones,SR Waugh,IA Healy,TV Hohns,MG Hughes,GF Lawson,TM Alderman
Australia 1994-95,MJ Slater,MA Taylor,DC Boon,ME Waugh,MG Bevan,SR Waugh,IA Healy,SK Warne,CJ McDermott,TBA May,GD McGrath
Australia 1999-2000,GS Blewett,MJ Slater,JL Langer,ME Waugh,SR Waugh,RT Ponting,AC Gilchrist,SK Warne,DW Fleming,B Lee,GD McGrath
Australia 2004-05,JL Langer,ML Hayden,RT Ponting,DR Martyn,MJ Clarke,SM Katich,AC Gilchrist,SK Warne,JN Gillespie,MS Kasprowicz,GD McGrath
Australia 2010-11,SR Watson,PJ Hughes,RT Ponting,MJ Clarke,MEK Hussey,SPD Smith,BJ Haddin,MG Johnson,RJ Harris,PM Siddle,BW Hilfenhaus
Australia 2015-16,JA Burns,DA Warner,UT Khawaja,SPD Smith,AC Voges,MR Marsh,PM Nevill,MG Johnson,MA Starc,JR Hazlewood,NM Lyon
Australia 2021-22,DA Warner,UT Khawaja,M Labuschagne,SPD Smith,TM Head,C Green,AT Carey,MA Starc,PJ Cummins,NM Lyon,SM Boland
Australia 2025-26,TM Head,J Weatherald,M Labuschagne,SPD Smith,UT Khawaja,AT Carey,BJ Webster,MG Neser,MA Starc,JA Richardson,SM Boland
Bangladesh 2000-01,Javed Omar,Mehrab Hossain,Al Sahariar,Aminul Islam,Habibul Bashar,Akram Khan,Naimur Rahman,Mushfiqur Rahman,Enamul Haque,Mohammad Sharif,Manjural Islam
Bangladesh 2004-05,Javed Omar,Nafees Iqbal,Habibul Bashar,Mohammad Ashraful,Rajin Saleh,Aftab Ahmed,Khaled Mashud,Mohammad Rafique,Mashrafe Mortaza,Tapash Baisya,Enamul Haque jnr
